140000671     1427003704002208                                402102-0.0014.01572
140000672     1427003704002209                                402102-0.0015.01709
140000673     1427003704002210                                402102-0.0016.01780
140000674     1427003704002211                                402102-0.0017.01795
140000675     1427003704002212                                402102-0.0018.01808
140000676     1427003704002213                                402102-0.0019.01810
140000677     1427003704002214                                402102-0.0020.02144
140000678     1427003704002215                                402102-0.0021.02200
140000679     1427003704002216                                402102-0.0022.02241
140000680     1427003704002217                                402102-0.0023.02258
140000681     1427003704002218                                402102-0.0024.02265
140000682     1427003704002219                                402102-0.0025.02480
140000683     1427003704002220                                402102-0.0026.02683
140000684     1427003704002221                                402102-0.0027.02699
140000685     1427003704002222                                402102-0.0028.02714
140000686     1427003704002223                                402102-0.0029.02724
140000687     1427003704002224                                402102-0.0030.03598
140000688     1427003704002225                                402102-0.0031.04006
140000689     1427003704002226                                402102-0.0032.04012
140000690     1427003704002227                                402102-0.0033.04065
140000691     1427003704002228                                402102-0.0034.04580
140000692     1427003704002229                                402102-0.0035.04665
140000693     1427003704002230                                402102-0.0036.04729
140000694     1427003704002231                                402103-0.0001.00001
140000695     1427003704002232                                402103-0.0002.00519
140000696     1427003704002233                                402103-0.0003.00581
140000697     1427003704002234                                402103-0.0004.00667
140000698     1427003704002235                                402103-0.0005.00831
140000699     1427003704002236                                402103-0.0006.00909
140000700     1427003704002237                                402103-0.0007.01819
140000701     1427003704002238                                402103-0.0008.01841
140000702     1427003704002239                                402103-0.0009.01873
140000703     1427003704002240                                402103-0.0010.01893
140000704     1427003704002241                                402103-0.0011.01974
140000705     1427003704002242                                402103-0.0012.01998
140000706     1427003704002243                                402103-0.0013.02022
140000707     1427003704002244                                402103-0.0014.02047
140000708     1427003704002245                                402103-0.0015.03435
140000709     1427003704002246                                402103-0.0016.04045
140000710     1427003704002247                                402103-0.0017.04357
140000711     1427003704002248                                402103-0.0018.04499
140000712     1427003704002249                                402103-0.0019.04528
140000713     1427003704002250                                402103-0.0020.04554
140000714     1427003704002251                                402103-0.0021.04922
140000715     1427003704002252                                402103-0.0022.04940
140000716     1427003704002253                                402104-0.0001.00001
140000717     1427003704002254                                402104-0.0002.00810
140000718     1427003704002255                                402104-0.0003.00839
140000719     1427003704002256                                402104-0.0004.00854
140000720     1427003704002257                                402104-0.0005.00955
140000721     1427003704002258                                402104-0.0006.00972
